molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL2179034,0,200000.0,nM,CHEMBL364,CHEMBL2183637,Cc1cn([C@H]2C[C@H](O)[C@@H](CNC(=O)NCc3ccccc3)O2)c(=O)[nH]c1=O
CHEMBL3264185,1,12.75,nM,CHEMBL364,CHEMBL3267981,CC(=O)N[C@@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](OC(C)=O)[C@@H]1[C@@H]2C[C@H](OC(C)=O)[C@]2(C)[C@@H]([C@H](C)CCCNCCCNc3ccnc4cc(Cl)ccc34)CC[C@@H]12
CHEMBL6145517,1,7.4,nM,CHEMBL364,CHEMBL6085561,CCCCCc1cc(/C=C2\N=C(c3ccc[nH]3)C=C2Oc2ccc(OC(F)(F)F)cc2)[nH]c1C.Cl
CHEMBL2094001,0,14200.0,nM,CHEMBL364,CHEMBL962001,C(=C1CN2CCC1CC2)c1ccc(C2OCCO2)cc1
CHEMBL1927113,1,23.0,nM,CHEMBL364,CHEMBL1930427,CN1CCN(CCN2CCC3(N4CCCC4)CC(c4ccccc4)C2C(c2ccccc2)C3)CC1
CHEMBL3933041,0,54500.0,nM,CHEMBL364,CHEMBL3869495,CCCn1cc(COc2ccc3ccccc3c2)nn1
CHEMBL4777972,1,9.0,nM,CHEMBL364,CHEMBL4714843,Cc1cc(Cl)cc(C(=O)Nc2cccc([C@]3(C)CC(=O)N([C@@H]4CCO[C@H](C)C4)C(=N)N3)c2Cl)c1
CHEMBL15321,0,20000.0,nM,CHEMBL364,CHEMBL767003,C=CCC1Cc2c(c3ccccc3c3nc4ccccc4nc23)OC1(C)C
CHEMBL5200924,1,210.0,nM,CHEMBL364,CHEMBL5097655,CC1(C)CCc2cc(CNCCCCc3ccccc3)c3c(c2O1)CCC(C)(C)O3
CHEMBL6143344,1,683.0,nM,CHEMBL364,CHEMBL6119912,Cc1nnc(-c2ccc3ccn(CC(=O)Nc4cc(F)ccc4Cl)c3c2)o1
CHEMBL443628,1,20.0,nM,CHEMBL364,CHEMBL990646,COc1cc(C(=N)N)ccc1-c1cc2ccc(C(=N)N)cc2o1
CHEMBL396435,1,2.0,nM,CHEMBL364,CHEMBL902564,C(CCCCCCC1=NCCN1)CCCCCC1=NCCN1
CHEMBL4217237,1,0.6,nM,CHEMBL364,CHEMBL4194451,C[C@H]1[C@H](OC(=O)CCC(=O)NCCCN(CCCCCCCCN(CCCNC(=O)CCC(=O)O[C@@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)C(=O)CCC(=O)O[C@@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)C(=O)CCC(=O)O[C@@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL548948,1,371.1,nM,CHEMBL364,CHEMBL1054503,COc1ccc(OC)c(-c2cccc(-c3cccc(NC(=O)c4ccc([N+](=O)[O-])o4)c3)n2)c1
CHEMBL533928,1,675.36,nM,CHEMBL364,CHEMBL1054503,CC1CN(Cc2cccc(C#N)c2)CCN1c1ccc(NC(=O)c2cccs2)cc1.O=C(O)C(F)(F)F
